INSTANCE_ID,IMAGE_ID,INSTANCE_TYPE,INSTANCE_LUNCH_TIME,AVAILABILITY_ZONE
i-060e9aec84d929588,ami-01eccbf80522b562b,t2.micro,2024-03-29 02:48:55+00:00,us-east-1a
i-05d64cef114ddcfe3,ami-01eccbf80522b562b,t2.micro,2024-03-29 02:48:54+00:00,us-east-1a
